AD,CAD,Ward,AG,Age,GN,Gender,NH,CH,CH_YN,PT,Pets,DG,CT,NumPets,DGO,CTO,PetOut,YUP,RO,Rent_Own,IC,Income,Income_Coll,DGR,Degree,Edu_Coll,NS,MM,MMT,DC,ConcernScore,DL,DK,MG,LK,PM,SK,KS,KSP,GAT21,GAT2021,GATPr,GATPrev,GATSm,NumSummers,Summ1,Summ2,Summ3,Summ4,Summ5,New GAT,CHM,CHMN,EC,EmptyConts,ECT,UD,Dunks,FP,KnowUPProg,UPD,WhatProgDo (Overall Score),Did They Check GAT?,BCI,BlockCapInt,BCH,BlockCapHelp,PE,PF,EffectFavScore,PC,OCT,IMC,IMC_Score,GATNo,NoGATReason,GATNoT,TOD,TimeOut,AOD,OutAct,OutActA,OutActB,OutActC,OutActD,OutActE,OutActF,OutActG,OutActH,NumOut,AODT,OOD,OtherOutA,OtherOutB,OtherOutC,OtherOutD,OtherOutE,OtherOutF,OtherOutG,NumOtherOut,OODT,UPF,KN,IN,IN_Coll,Gift card email,Other comments
,,,65+,4,Male,1,2,0,No,No,0,,,0,,,0,,Own,2,"$100,000 - $150,000",3,"$100,000 - $200,000",Graduate degree or professional degree,5,Graduate degree or professional degree,2,Other (please describe),"Depends on moisture conditions and time of day. I spend far more time in my yard than outside, so that is where I get bitten the most often.",2,4,"In UP: West Nile virus, equine encephalitis, chikungaya, zika. Elsewhere: Malaria, yellow fever, dengue, and a few other.",1,Eggs and larvae: in or beside standing water.,1,Asian Tiger (Aedes albopictus); vexans may mounting a challenge.,1,2,,Yes,1,Yes,1,"2016,2017,2018,2019,2020",5,2016,2017,2018,2019,2020,No,No,0,"Yes, regularly",1,,Yes,1,Yes,2,"Print education,In-person education,GAT deployment efforts,Mosquito monitoring,Block-captain organizing,Door-to-door canvassing",1,,Yes,2,Yes,2,3,4,7,Other (please describe),Periodic town-sponsored monitoring of mosquito abundance by type and area,"I or another member of my household is irritated by mosquito bites,They can spread disease to humans,They can spread disease to animals,I want my community to be safe,They make being outside unpleasant",5,NA (I have a GAT),,,6- 8 hours,7,"Landscaping (such as lawn mowing),Gardening,Exercise (including walks around the neighborhood),Home improvement projects (such as painting or renovating the exterior of your home) ","Landscaping ,Gardening,Exercise ,Home improvement projects  ",Landscaping,Gardening,Exercise,Home improvement projects,,,,,4,,"Outdoor-focused travel (such as visiting National Parks),Other outdoor activities (please describe)","Outdoor-focused travel ,Other outdoor activities ",Outdoor-focused travel,Other outdoor activities,,,,,2,Walking; enjoying the company of neighbors,Yes,Yes,Daily,Daily,,
,,,65+,4,Female,2,2,0,No,Yes,1,2,,2,2,,2,21,Own,2,"$50,000 - $100,000",2,"Up to $100,000",Graduate degree or professional degree,5,Graduate degree or professional degree,3,My backyard,,3,6,"West Nile Virus, others I can't say or spell",1,water,1,Asian tiger,1,3,,Yes,1,Yes,1,"2016,2017,2018,2019,2020",5,2016,2017,2018,2019,2020,No,No,0,"Yes, regularly",1,,Yes,1,Yes,2,"Print education,In-person education,GAT deployment efforts,Mosquito monitoring,Block-captain organizing,Door-to-door canvassing",1,,Yes,2,Yes,2,5,5,10,"More town-sponsored distribution of GATs,Town-sponsored distribution of other control materials, such as mosquito dunks and mesh to cover drain pipes",,"I or another member of my household is irritated by mosquito bites,They can spread disease to humans,They can spread disease to animals,I want my community to be safe,They make being outside unpleasant",5,NA (I have a GAT),,,More than 8 hours per week,9,"Landscaping (such as lawn mowing),Gardening,Exercise (including walks around the neighborhood),Sitting in an outdoor space, such as a patio or porch,Home improvement projects (such as painting or renovating the exterior of your home) ","Landscaping ,Gardening,Exercise ,Sitting in an outdoor space, such as a patio or porch,Home improvement projects  ",Landscaping,Gardening,Exercise,Sitting in an outdoor space,such as a patio or porch,Home improvement projects,,,6,,"Outdoor-focused travel (such as visiting National Parks),Other outdoor activities (please describe)","Outdoor-focused travel ,Other outdoor activities ",Outdoor-focused travel,Other outdoor activities,,,,,2,"walking, biking",Yes,Yes,Daily,Daily,,
,,,18 - 35,1,Male,1,4,2,Yes,No,0,,,0,,,0,2,Own,2,"$200,000 - $250,000",5,"$200,000 or greater",Graduate degree or professional degree,5,Graduate degree or professional degree,4,Near the creek,,2,6,"West Nile virus, malaria, Zika",1,Stagnant/standing pools of water,1,I don't know,0,1,,No,0,No,0,,#N/A,#VALUE!,,,,,#VALUE!,No,0,"Yes, regularly",1,,I don't know what this is,#N/A,Somewhat,1,"Print education,Mosquito monitoring",1,,No,0,,#N/A,2,2,4,"More volunteers to assist residents with mosquito control in their yards,More town-sponsored distribution of GATs,Town-sponsored distribution of other control materials, such as mosquito dunks and mesh to cover drain pipes,Other (please describe)",More outreach so people understand the program etc,"I or another member of my household is irritated by mosquito bites,They can spread disease to humans,They make being outside unpleasant",3,NA (I have a GAT),,,2 - 4 hours,3,"Play with or supervise children playing outdoors,Landscaping (such as lawn mowing),Gardening,Exercise (including walks around the neighborhood)","Play with or supervise children playing outdoors,Landscaping ,Gardening,Exercise ",Play with or supervise children playing outdoors,Landscaping,Gardening,Exercise,,,,,4,,"Hunting,Outdoor-focused travel (such as visiting National Parks)","Hunting,Outdoor-focused travel ",Hunting,Outdoor-focused travel,,,,,2,,Yes,Somewhat,Rarely,Monthly or less,,
,,,50 - 65,3,Male,1,6,4,Yes,Yes,1,1,,1,1,,1,1,Rent,1,,#N/A,#N/A,Graduate degree or professional degree,5,Graduate degree or professional degree,3,My backyard,,3,6,,0,in standing water,1,,0,1,,No,0,No,0,,#N/A,#VALUE!,,,,,#VALUE!,No,0,"Sometimes, if I remember (enter approximately how often, if desired)",0,,No,0,Yes,2,,1,,No,0,,#N/A,3,3,6,"More town-sponsored distribution of GATs,Town-sponsored distribution of other control materials, such as mosquito dunks and mesh to cover drain pipes",,They make being outside unpleasant,1,No opinion,Other,no opinion,6- 8 hours,7,"Play with or supervise children playing outdoors,Landscaping (such as lawn mowing),Exercise (including walks around the neighborhood),Sitting in an outdoor space, such as a patio or porch,Home improvement projects (such as painting or renovating the exterior of your home) ","Play with or supervise children playing outdoors,Landscaping ,Exercise ,Sitting in an outdoor space, such as a patio or porch,Home improvement projects  ",Play with or supervise children playing outdoors,Landscaping,Exercise,Sitting in an outdoor space,such as a patio or porch,Home improvement projects,,,6,,Camping or backpacking,Camping or backpacking,Camping or backpacking,,,,,,1,,Yes,No,Weekly,Weekly,,
,,,18 - 35,1,Female,2,4,2,Yes,Yes,1,2,,2,2,,2,1,Own,2,"$200,000 - $250,000",5,"$200,000 or greater",Graduate degree or professional degree,5,Graduate degree or professional degree,5,My backyard,,3,8,West Nile,1,Standing water,1,I don't know,0,2,,No,0,No,0,,#N/A,#VALUE!,,,,,#VALUE!,Yes,1,"Yes, regularly",1,,No,0,Somewhat,1,,1,,No,0,,#N/A,1,3,4,Town-wide chemical spray,,"I or another member of my household is irritated by mosquito bites,They make being outside unpleasant,Other (please describe)",3,"I have pets that knock it over or damage it,I have children that knock it over or damage it",I have pets and/or children that knock it over/damage it,,More than 8 hours per week,9,"Play with or supervise children playing outdoors,Exercise (including walks around the neighborhood),Sitting in an outdoor space, such as a patio or porch","Play with or supervise children playing outdoors,Exercise ,Sitting in an outdoor space, such as a patio or porch",Play with or supervise children playing outdoors,Exercise,Sitting in an outdoor space,such as a patio or porch,,,,,4,,"Hiking,Outdoor-focused travel (such as visiting National Parks)","Hiking,Outdoor-focused travel ",Hiking,Outdoor-focused travel,,,,,2,,Yes,Yes,Weekly,Weekly,,
,,,65+,4,Male,1,2,0,No,No,0,,,0,,,0,36,Own,2,"$100,000 - $150,000",3,"$100,000 - $200,000",Graduate degree or professional degree,5,Graduate degree or professional degree,2,My backyard,,1,3,West nile,1,"Small water bodies, even flowe pots",1,"Asian tiger mosquito,  ades albopictus",1,3,,No,0,Yes,1,2017,1,2017,,,,,No,,1,"Sometimes, if I remember (enter approximately how often, if desired)",0,Every few weeks,Sometimes,#N/A,Yes,2,"Print education,In-person education,GAT deployment efforts,Mosquito monitoring,Block-captain organizing",1,,Yes,2,Yes,2,3,5,8,"More volunteers to assist residents with mosquito control in their yards,More town-sponsored distribution of GATs,Town-sponsored distribution of other control materials, such as mosquito dunks and mesh to cover drain pipes",,"I or another member of my household is irritated by mosquito bites,They can spread disease to humans,They make being outside unpleasant",3,"I do not want to maintain it,It does not fully eliminate mosquitoes from the yard","It does not fully eliminate mosquitoes from the yard
",,4 -6 hours,5,"Landscaping (such as lawn mowing),Exercise (including walks around the neighborhood),Sitting in an outdoor space, such as a patio or porch","Landscaping ,Exercise ,Sitting in an outdoor space, such as a patio or porch",Landscaping,Exercise,Sitting in an outdoor space,such as a patio or porch,,,,,4,,Fishing,Fishing,Fishing,,,,,,1,,Yes,Yes,Daily,Daily,,
,,,18 - 35,1,Male,1,5,0,No,No,0,,,0,,,0,0,Rent,1,"$150,000 - $200,000",4,#N/A,Graduate degree or professional degree,5,Graduate degree or professional degree,1,Near the creek,,5,6,"Dengue, Malaria , ",0,Stagnant water,1,Anaphalis mosquito,0,1,,No,0,No,0,,#N/A,#VALUE!,,,,,#VALUE!,No,0,"Yes, regularly",1,,No,0,No,0,,1,,No,0,,#N/A,3,2,5,Town-wide chemical spray,,They can spread disease to humans,1,I do not want to maintain it,I do not want to maintain it,,1 - 2 hours,2,"Sitting in an outdoor space, such as a patio or porch","Sitting in an outdoor space, such as a patio or porch",Sitting in an outdoor space,such as a patio or porch,,,,,,,2,,Outdoor-focused travel (such as visiting National Parks),Outdoor-focused travel,Outdoor-focused travel,,,,,,1,,Yes,No,Rarely,Monthly or less,,
,,,35 - 50,2,Male,1,2,0,No,Yes,1,2,0,2,2,0,2,1,Own,2,"Greater than $250,000",6,"$200,000 or greater",Bachelor's Degree,4,Bachelor's degree or less,5,My backyard,,5,10,West Nile,1,In standing water,1,Tiger mosquito,1,3,,Yes,1,No,0,,#N/A,#VALUE!,,,,,#VALUE!,No,0,"Sometimes, if I remember (enter approximately how often, if desired)",0,,Yes,1,Yes,2,GAT deployment efforts,1,,No,0,,#N/A,3,4,7,"Battery-powered or active traps,More town-sponsored distribution of GATs,Town-sponsored distribution of other control materials, such as mosquito dunks and mesh to cover drain pipes",,"I or another member of my household is irritated by mosquito bites,They can spread disease to humans,They can spread disease to animals,I want my community to be safe,They make being outside unpleasant",5,NA (I have a GAT),,,More than 8 hours per week,9,"Landscaping (such as lawn mowing),Gardening,Exercise (including walks around the neighborhood),Sitting in an outdoor space, such as a patio or porch","Landscaping ,Gardening,Exercise ,Sitting in an outdoor space, such as a patio or porch",Landscaping,Gardening,Exercise,Sitting in an outdoor space,such as a patio or porch,,,,5,,"Birding,Hiking","Birding,Hiking",Birding,Hiking,,,,,2,,Yes,Yes,Daily,Daily,,
,,,50 - 65,3,Male,1,2,0,No,Yes,1,1,3,4,1,1,2,10,Own,2,"$150,000 - $200,000",4,#N/A,Graduate degree or professional degree,5,Graduate degree or professional degree,3,Other (please describe),"""most"" correlates to stasis.",2,5,Yellow fever,0,stagnant water gutters are a major culprit,1,Asian tiger,1,2,,No,0,Yes,1,"201,820,192,020",3,2018,2019,2020,,,Yes,No,0,"Sometimes, if I remember (enter approximately how often, if desired)",0,USUALLY 2 X weekly,Yes,1,Somewhat,1,"Print education,In-person education,GAT deployment efforts,Block-captain organizing,Door-to-door canvassing",1,,No,0,,#N/A,3,3,6,"Town-sponsored distribution of other control materials, such as mosquito dunks and mesh to cover drain pipes",,"I or another member of my household is irritated by mosquito bites,They can spread disease to humans,They can spread disease to animals,They make being outside unpleasant",4,"I do not think it works,I do not want to maintain it,It attracts mosquitoes",I do not think it works,,6- 8 hours,7,"Gardening,Exercise (including walks around the neighborhood),Sitting in an outdoor space, such as a patio or porch,Home improvement projects (such as painting or renovating the exterior of your home) ","Gardening,Exercise ,Sitting in an outdoor space, such as a patio or porch,Home improvement projects  ",Gardening,Exercise,Sitting in an outdoor space,such as a patio or porch,Home improvement projects,,,,5,,"Birding,Hiking,Kayaking, canoeing, or other water sports,Camping or backpacking,Outdoor-focused travel (such as visiting National Parks)","Birding,Hiking,Kayaking, canoeing, or other water sports,Camping or backpacking,Outdoor-focused travel ",#REF!,,,,,,7,,Yes,Yes,Daily,Daily,,
,,,65+,4,Male,1,2,0,No,No,0,,,0,,,0,20,Own,2,"Greater than $250,000",6,"$200,000 or greater",Graduate degree or professional degree,5,Graduate degree or professional degree,3,My backyard,,4,7,I don't know,0,standing water,1,tiger,1,2,,No,0,No,0,,#N/A,#VALUE!,,,,,#VALUE!,Yes,1,"Yes, regularly",1,,No,0,No,0,,1,,No,0,,#N/A,3,3,6,"Battery-powered or active traps,More town-sponsored distribution of GATs",,"I or another member of my household is irritated by mosquito bites,They can spread disease to humans,They make being outside unpleasant",3,Don't know what it is,I do not know what it is,Don't know what it is or how it works,2 - 4 hours,3,"Gardening,Exercise (including walks around the neighborhood)","Gardening,Exercise ",Gardening,Exercise,,,,,,,2,,None,None,None,,,,,,1,,Somewhat,Yes,Monthly,Monthly or less,,
